acronym,description,authors,year,cat_data,cat_econ,disposition,concept_mapping,note
AbnormalAccruals,Abnormal Accruals,Xie,2001,Accounting,accruals,ready-recipe,"residual of derived.accruals_cf on Jones-model terms (raw.revenue delta, raw.gross_ppe, raw.total_assets) by class.membership",
Accruals,Accruals,Sloan,1996,Accounting,accruals,ready,derived.accruals_bs,balance-sheet Sloan accrual is the v1 concept
AccrualsBM,Book-to-market and accruals,Bartov and Kim,2004,Accounting,valuation,ready-recipe,signal.book_to_price x derived.accruals_bs interaction,
Activism1,Takeover vulnerability,Cremers and Nair,2005,13F,other,partial,own.top10_share + own.inst_pct + external-blockholder flag,holder-level detail exists in Holders map; takeover-vulnerability recipe
AM,Total assets to market,Fama and French,1992,Accounting,valuation,ready,raw.total_assets / raw.market_cap,
AnalystRevision,EPS forecast revision,"Hawkins, Chamberlin, Daniel",1984,Analyst,earnings forecast,blocked-data,est.eps_revision_3m,THE gated concept: revision-level estimates vendor required
AnnouncementReturn,Earnings announcement return,"Chan, Jegadeesh and Lakonishok",1996,Price,earnings event,ready,market.ret around event.earnings_date_confirmed window,
AssetGrowth,Asset growth,"Cooper, Gulen and Schill",2008,Accounting,investment,ready,signal.asset_growth,direct hit (sign-inverted)
BetaLiquidityPS,Pastor-Stambaugh liquidity beta,Pastor and Stambaugh,2003,Price,liquidity,new-concept,beta to factor.liquidity_agg (Pastor-Stambaugh),needs internal factor-series construction (factor.*)
BetaTailRisk,Tail risk beta,Kelly and Jiang,2014,Price,risk,ready-recipe,beta to cross-sectional tail-risk index (internal series),
betaVIX,Systematic volatility,Ang et al.,2006,Price,volatility,ready-recipe,ret sensitivity to d(macro.vix),both series exist
BM,"Book to market, original (Stattman 1980)",Stattman,1980,Accounting,valuation,ready,signal.book_to_price,direct hit
BMdec,Book to market using December ME,Fama and French,1992,Accounting,valuation,ready-recipe,book_to_price with December market-cap convention (ref calendar),
BookLeverage,Book leverage (annual),Fama and French,1992,Accounting,leverage,ready,raw.total_assets / raw.common_equity,
BPEBM,Leverage component of BM,"Penman, Richardson and Tuna",2007,Accounting,leverage,ready-recipe,leverage component of BM decomposition (book/market netdebt split),
Cash,Cash to assets,Palazzo,2012,Accounting,asset composition,ready,raw.cash_and_equivalents + raw.short_term_investments / raw.total_assets,
CashProd,Cash Productivity,Chandrashekar and Rao,2009,Accounting,profitability alt,ready,(raw.market_cap + raw.total_debt - raw.total_assets) / cash,
CBOperProf,Cash-based operating profitability,Ball et al.,2016,Accounting,profitability,ready,cash-based op profit (op profit - accrual deltas) / assets,all component raws exist
CF,Cash flow to market,"Lakonishok, Shleifer, Vishny",1994,Accounting,valuation,ready,(raw.net_income + raw.dep_amort) / raw.market_cap,
cfp,Operating Cash flows to price,"Desai, Rajgopal, Venkatachalam",2004,Accounting,valuation,ready,signal.cfo_yield,direct hit
ChangeInRecommendation,Change in recommendation,Jegadeesh et al.,2004,Analyst,recommendation,partial,analyst.rating_delta_3m,snapshot-diff caveat
ChAssetTurnover,Change in Asset Turnover,Soliman,2008,Accounting,sales growth,ready,d(raw.revenue / avg raw.total_assets),
ChEQ,Growth in book equity,Lockwood and Prombutr,2010,Accounting,investment,ready,"growth(raw.common_equity, 1y)",
ChForecastAccrual,Change in Forecast and Accrual,Barth and Hutton,2004,Analyst,earnings forecast,blocked-data,revision x accrual interaction,revision leg gated
ChInv,Inventory Growth,Thomas and Zhang,2002,Accounting,investment alt,ready,d(raw.inventory) / avg assets,
ChInvIA,Change in capital inv (ind adj),Abarbanell and Bushee,1998,Accounting,investment growth,ready-recipe,capex+inv growth minus class.membership industry mean,industry-adjust recipe
ChNAnalyst,Decline in Analyst Coverage,Scherbina,2008,Analyst,earnings event,partial,d(analyst.rating_count or est count),"snapshot diffs, lag-blurred (DICT-16 caveat)"
ChNNCOA,Change in Net Noncurrent Op Assets,Soliman,2008,Accounting,investment alt,ready,d(noncurrent operating assets - liabilities) / assets,composes existing raws
ChNWC,Change in Net Working Capital,Soliman,2008,Accounting,investment alt,ready,d(raw.working_capital net of cash/debt) / assets,
ChTax,Change in Taxes,Thomas and Zhang,2011,Accounting,other,ready,"d(raw.tax_expense, 4q) / lag assets",
CitationsRD,Citations to RD expenses,"Hirschleifer, Hsu and Li",2013,Other,profitability alt,blocked-data,patent citations / raw.rnd,patent dataset = DICT-20 adhoc candidate
CompEquIss,Composite equity issuance,Daniel and Titman,2006,Accounting,external financing,ready-recipe,"log growth(raw.market_cap) - cumulative market.ret_1d_tr, 5y",
CompositeDebtIssuance,Composite debt issuance,"Lyandres, Sun and Zhang",2008,Accounting,external financing,ready,"log growth(raw.total_debt, 5y)",
ConvDebt,Convertible debt indicator,Valta,2016,Accounting,external financing,new-concept,raw.convertible_debt indicator,XBRL convertible tags; new raw item
CoskewACX,Coskewness using daily returns,"Ang, Chen and Xing",2006,Price,risk,ready-recipe,daily coskewness vs benchmark,
CPVolSpread,Call minus Put Vol,Bali and Hovakimian,2009,Options,optionrisk,ready,-opt.skew_25d (call minus put),sign flip of existing
dVolCall,Change in call vol,"An, Ang, Bali, Cakici",2014,Options,informed trading,ready,d(call-side IV),"surface variant, construction exists"
dVolPut,Change in put vol,"An, Ang, Bali, Cakici",2014,Options,informed trading,ready,d(put-side IV),
dCPVolSpread,Change in put vol minus change in call vol,"An, Ang, Bali, Cakici",2014,Options,informed trading,ready,d(opt call-put IV spread),param variant of opt.skew_25d + opt.iv_dlt_1d
CredRatDG,Credit Rating Downgrade,Dichev and Piotroski,2001,Analyst,other,new-concept,credit.issuer_rating downgrade event,needs issuer-ratings feed; concept + source shopping-list item
CustomerMomentum,Customer momentum,Cohen and Frazzini,2008,Other,lead lag,partial,link.exposure(customer) weighted market.momentum,framework exists; customer links must be populated (filing-derived)
DelBreadth,Breadth of ownership,"Chen, Hong and Stein",2002,13F,ownership,partial,d(own.inst_holder_count) scaled,13F lag rules (DICT-16) apply; breadth needs consistent holder universe
DelCOA,Change in current operating assets,Richardson et al.,2005,Accounting,investment alt,ready,d(raw.current_assets - raw.cash_and_equivalents) / avg assets,
DelCOL,Change in current operating liabilities,Richardson et al.,2005,Accounting,external financing,ready,d(raw.current_liabilities - raw.short_term_debt) / avg assets,
DelEqu,Change in equity to assets,Richardson et al.,2005,Accounting,investment,ready,d(raw.common_equity) / avg assets,
DelFINL,Change in financial liabilities,Richardson et al.,2005,Accounting,external financing,ready,d(raw.total_debt + raw.preferred_equity) / avg assets,
DelLTI,Change in long-term investment,Richardson et al.,2005,Accounting,investment,new-concept,d(raw.long_term_investments),new raw item; XBRL LongTermInvestments
DelNetFin,Change in net financial assets,Richardson et al.,2005,Accounting,investment alt,ready,d(financial assets - financial liabilities) / avg assets,
DivInit,Dividend Initiation,"Michaely, Thaler and Womack",1995,Event,payout indicator,ready,first action.dividend_cash after >=2y none,
DivOmit,Dividend Omission,"Michaely, Thaler and Womack",1995,Event,payout indicator,ready,expected dividend missed (declaration pattern break),
DivSeason,Dividend seasonality,Hartzmark and Salomon,2013,Event,payout indicator,ready-recipe,predicted ex-month from action.dividend_cash history,
DivYieldST,Predicted div yield next month,Litzenberger and Ramaswamy,1979,Accounting,valuation,ready-recipe,predicted next-month dps from event.dividend_declaration pattern,action/dividend history exists
dNoa,change in net operating assets,"Hirshleifer, Hou, Teoh, Zhang",2004,Accounting,investment,ready,d(derived.noa),
DolVol,Past trading volume,"Brennan, Chordia, Subra",1998,Trading,volume,ready,market.dollar_volume_63d (param 1m),direct hit
EarningsConsistency,Earnings consistency,Alwathainani,2009,Accounting,earnings growth,ready-recipe,streak stats over raw.eps_diluted FY history,
EarningsForecastDisparity,Long-vs-short EPS forecasts,Da and Warachka,2011,Analyst,earnings forecast,blocked-data,LT vs ST forecast gap,needs fy1/fy2/LTG detail from estimates vendor
EarningsStreak,Earnings surprise streak,Loh and Warachka,2012,Accounting,earnings growth,ready-recipe,sign-streak of earnings surprise (est.surprise_last history),surprise leg wired tier C
EarningsSurprise,Earnings Surprise,"Foster, Olsen and Shevlin",1984,Accounting,earnings growth,ready,"SUE: d(raw.eps_diluted, 4q) / std(8q)",seasonal-random-walk form needs no estimates
EarnSupBig,Earnings surprise of big firms,Hou,2007,Accounting,lead lag,ready-recipe,big-firm earnings surprise aggregated by class.membership,lead-lag recipe
EBM,Enterprise component of BM,"Penman, Richardson and Tuna",2007,Accounting,valuation,ready-recipe,enterprise component of BM (net-debt-adjusted book/price),
